index,n_sentences,n_tokens,n_clean_tokens,top_words
0,0,0,0,
1,24,96,76,table:1 contents:1 introduction:1 chest:1 full:1 secrets:1 build:1 muscle:1 healthy:1 body:1 men:1 women:1 respond:1 differently:1 cancer:1 patients:1 really:1 mental:1 health:1 bet:1 gym:1 etiquette:1 understanding:1 bodybuilding:1 setting:1
2,8,195,132,bodybuilding:6 start:3 every:3 muscle:3 build:2 body:2 beginners:2 journey:2 rest:2 great:2 workout:2 goals:2 introduction:1 welcome:1 whether:1 looking:1 transform:1 physique:1 improve:1 health:1 boost:1 confidence:1 guide:1 designed:1 help:1
3,12,220,155,time:3 first:3 street:3 would:3 arnold:2 schwarzenegger:2 cover:2 workout:2 many:2 well:2 instructor:2 auckland:2 clive:2 green:2 queen:2 demetrius:2 strongman:2 chapter:1 chest:1 full:1 secrets:1 headline:1 photo:1 incredible:1 joe:1
4,24,293,197,tony:4 new:3 went:3 instructor:3 never:3 could:3 night:3 saturday:3 cars:3 days:2 later:2 working:2 gym:2 group:2 time:2 workout:2 ducevich:2 forget:2 bench:2 press:2 became:2 would:2 men:1 women:1 chief:1
5,26,296,188,class:5 book:4 grow:3 first:3 mara:3 music:3 work:3 think:2 rich:2 read:2 met:2 girl:2 reading:2 people:2 business:2 could:2 idea:2 exercise:2 began:2 realised:2 track:2 would:2 went:2 breaks:2 participants:2
6,25,352,229,building:7 gym:6 time:5 old:3 could:3 one:3 man:3 tracy:3 think:2 week:2 business:2 find:2 would:2 pictured:2 city:2 henderson:2 waitemata:2 athletic:2 club:2 turned:2 local:2 managed:2 rent:2 build:2 friend:2
7,16,156,112,health:4 family:3 fitness:3 clubs:3 managed:2 take:2 gym:2 became:2 cardio:2 later:2 location:2 friends:1 unimaginable:1 financial:1 risk:1 story:1 would:1 long:1 suffice:1 say:1 get:1 going:1 pay:1 everyone:1 needed:1
8,13,250,179,muscle:11 health:9 lyon:6 resistance:4 strength:3 also:3 metabolic:3 critical:2 overall:2 importance:2 organ:2 impacts:2 immune:2 training:2 help:2 prevent:2 like:2 aging:2 helps:2 individuals:2 beyond:2 chapter:1 build:1 long:1 term:1
9,17,307,192,women:7 men:4 differences:4 training:4 different:3 sport:3 girl:3 muscle:3 like:2 ways:2 stacy:2 sims:2 heard:2 girls:2 around:2 yet:2 changes:2 often:2 studies:2 male:2 generally:2 understanding:2 cancer:2 chapter:1 course:1
10,25,334,217,cancer:10 weights:5 club:5 programme:4 people:3 physical:3 person:3 strength:3 years:2 lead:2 trainer:2 ihrsa:2 right:2 lean:2 body:2 muscle:2 client:2 patients:2 often:2 energy:2 sense:2 ladies:2 training:2 increased:2 chapter:1
11,29,337,222,people:6 health:5 mental:4 reason:4 come:3 first:3 office:3 welfare:3 weight:2 lead:2 decision:2 still:2 auckland:2 number:2 one:2 stress:2 social:2 day:2 job:2 called:2 desk:2 pay:2 like:2 took:2 attitude:2
12,21,271,158,weight:3 training:3 body:3 weights:3 need:3 professor:2 depression:2 placebo:2 best:2 muscles:2 mind:2 focus:2 known:2 mental:2 feeling:2 shane:2 building:2 lifting:2 recently:1 spoke:1 australian:1 industry:1 convention:1 filex:1 told:1
13,21,268,184,club:7 gym:4 home:4 health:3 costs:3 equipment:3 make:3 etiquette:2 yes:2 membership:2 fees:2 take:2 value:2 time:2 physical:2 offers:2 surrounded:2 pool:2 exercise:2 add:2 many:2 others:2 chapter:1 privilege:1 able:1
14,24,197,121,club:3 workout:3 clean:3 respect:2 others:2 always:2 place:2 needing:2 equipment:2 completed:2 set:2 someone:2 else:2 use:2 trainers:2 avoid:2 banging:2 weights:2 grunting:2 gym:2 responsibility:2 fact:1 joined:1 among:1 disciplines:1
15,26,177,146,bodybuilding:6 muscle:5 muscles:3 nutrition:3 health:3 strength:3 training:2 benefits:2 improved:2 metabolism:2 growth:2 fat:2 enhances:2 reduces:2 functional:2 workouts:2 chapter:1 understanding:1 practice:1 developing:1 strengthening:1 body:1 resistance:1 proper:1 often:1
16,12,196,141,muscle:7 growth:5 body:4 repair:4 process:4 fibers:3 rest:3 one:3 science:2 behind:2 tears:2 training:2 rebuild:2 strength:2 nutrition:2 recovery:2 built:2 scientifically:1 known:1 hypertrophy:1 occurs:1 endure:1 microscopic:1 result:1 resistance:1
17,28,239,186,goals:8 goal:5 months:4 setting:3 realistic:3 progress:3 set:3 muscle:3 achievable:2 sense:2 stay:2 track:2 bodybuilding:2 define:2 want:2 current:2 fitness:2 level:2 personal:2 deadlines:2 kilos:2 lower:2 body:2 fat:2 within:2
18,28,299,194,habit:8 get:6 goal:5 new:5 vision:4 setting:3 alone:3 change:3 anything:3 people:3 create:3 would:3 see:3 read:3 follow:2 resolutions:2 habits:2 decide:2 need:2 use:2 started:2 like:2 action:2 day:2 important:2
19,22,248,159,talked:4 training:4 years:3 grow:3 also:3 work:2 one:2 workout:2 black:2 renee:2 brahm:2 two:2 balanced:2 body:2 avoid:1 making:1 common:1 saying:1 back:1 play:1 make:1 jack:1 dull:1 boy:1 stage:1
20,24,243,188,body:8 training:8 metabolism:7 fat:4 appearance:3 muscle:3 focus:3 ectomorph:2 mesomorph:2 endomorph:2 consistent:2 nutrition:2 make:2 types:2 influenced:2 genetics:2 understanding:2 physical:2 bianca:2 making:2 gain:2 balanced:2 loss:2 strength:2 diet:2
21,27,214,174,muscle:6 nutrition:4 meal:4 growth:3 recovery:3 protein:3 sources:3 carbohydrates:3 bodybuilding:2 workouts:2 repair:2 proteins:2 essential:2 aim:2 per:2 fish:2 legumes:2 supplements:2 energy:2 vegetables:2 fats:2 hydration:2 support:2 day:2 based:2
22,5,112,83,snack:3 nutrition:2 fuel:2 power:2 sample:1 meal:1 plan:1 beginners:1 breakfast:1 scrambled:1 eggs:1 spinach:1 tomatoes:1 toast:1 glass:1 orange:1 juice:1 greek:1 yogurt:1 mixed:1 berries:1 honey:1 lunch:1 grilled:1 chicken:1
23,22,232,195,sets:16 reps:14 workout:5 muscle:5 per:4 press:4 group:3 typically:3 major:3 times:3 week:3 workouts:3 split:3 day:3 dumbbell:3 plan:2 often:2 train:2 exercise:2 weight:2 repetitions:2 groups:2 increasing:2 gains:2 body:2
24,18,193,139,time:4 progress:3 increasing:2 weights:2 prevent:2 injuries:2 rest:2 take:2 body:2 avoid:2 stick:2 routine:2 muscle:2 muscles:2 results:2 small:2 grow:2 adapt:2 discipline:2 tips:1 beginners:1 start:1 light:1 master:1 proper:1
25,25,233,187,muscles:10 worked:10 tips:10 back:9 exercises:5 lower:4 keep:4 chest:4 shoulders:4 muscle:3 bicep:3 hamstrings:3 glutes:3 straight:3 core:3 press:3 triceps:3 biceps:3 essential:2 compound:2 isolation:2 squats:2 deadlifts:2 curls:2 top:2
26,14,196,131,feel:3 repetitions:3 muscle:2 like:2 spotter:2 exercise:2 peak:2 bar:2 ensure:2 exercises:2 routine:2 prevent:2 new:2 every:2 paul:1 hack:1 sometimes:1 pushing:1 limit:1 better:1 engage:1 either:1 training:1 partner:1 another:1
27,23,224,163,recovery:7 rest:5 muscle:5 repair:3 days:3 sauna:3 muscles:2 sleep:2 support:2 health:2 paul:2 hack:2 club:2 physical:2 room:2 luxury:2 massage:2 chairs:2 infrared:2 heats:2 drink:2 chapter:1 importance:1 growth:1 occurs:1
28,7,144,114,muscle:4 programme:3 decreased:2 recovery:2 stretching:2 improve:2 foam:2 signs:1 overtraining:1 persistent:1 soreness:1 performance:1 increased:1 susceptibility:1 injuries:1 fatigue:1 lack:1 energy:1 insomnia:1 disrupted:1 sleep:1 patterns:1 irritability:1 mood:1 swings:1
29,28,303,225,supplements:6 protein:5 purpose:4 muscle:4 daily:3 grams:3 usage:3 time:2 adequate:2 nutrition:2 essential:2 health:2 sat:2 sauna:2 favourite:2 giant:2 massive:2 bag:2 vitamins:2 water:2 quickly:2 whey:2 busy:2 plus:2 like:2
30,14,108,87,supplements:3 purpose:2 health:2 usage:2 avoid:2 effects:2 supplement:2 fish:1 oil:1 fatty:1 acids:1 supports:1 heart:1 reduces:1 inflammation:1 aids:1 recovery:1 grams:1 daily:1 boosts:1 energy:1 focus:1 endurance:1 workouts:1 ingredients:1
31,27,233,166,stay:5 goals:4 motivated:3 training:3 week:3 keep:3 visualisation:3 motivation:2 success:2 bodybuilding:2 clear:2 paul:2 muscle:2 hack:2 discussed:2 earlier:2 use:2 focus:2 progress:2 workout:2 find:2 provide:2 workouts:2 session:2 milestones:2
32,11,149,108,goals:3 motivation:2 routine:2 workout:2 new:2 smaller:2 break:2 overcoming:1 common:1 slumps:1 identify:1 cause:1 determine:1 causing:1 dip:1 fatigue:1 boredom:1 external:1 stressors:1 adjust:1 change:1 plan:1 try:1 exercises:1 reignite:1
33,23,173,141,solution:10 bodybuilding:3 rest:3 avoid:2 injuries:2 allow:2 body:2 nutrition:2 balanced:2 workout:2 schedule:2 progress:2 days:2 muscle:2 groups:2 use:2 tools:2 supplements:2 chapter:1 common:1 mistakes:1 beginner:1 pitfalls:1 neglecting:1 proper:1
34,27,263,198,joseph:5 time:4 weight:4 body:4 tracking:3 progress:3 strength:3 changes:3 multiple:2 boxing:2 became:2 always:2 monitor:2 muscle:2 growth:2 measure:2 helps:2 track:2 repetitions:2 benefits:2 areas:2 measurements:2 frequency:2 chapter:1 matters:1
35,9,127,92,progress:6 stay:3 data:2 every:2 going:2 analysing:1 set:1 regular:1 schedule:1 specific:1 times:1 monthly:1 review:1 tracked:1 compare:1 points:1 look:1 trends:1 patterns:1 indicate:1 highlight:1 areas:1 needing:1 adjustment:1 adjust:1
36,31,391,242,stretching:10 stretch:6 henry:5 workout:5 club:4 david:4 cover:3 book:3 enjoy:3 daily:2 read:2 sas:2 expert:2 also:2 observing:2 later:2 black:2 age:2 goggins:2 navy:2 seal:2 make:2 completed:2 static:2 time:2
37,18,233,153,bodybuilding:6 body:5 journey:4 every:3 build:2 goals:2 maintaining:2 motivation:2 stay:2 committed:2 personal:2 take:2 building:2 stronger:2 thank:2 conclusion:1 embarking:1 beginner:1 exciting:1 overwhelming:1 beginners:1 provided:1 foundational:1 knowledge:1 get:1
